Indicator,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015
"Per Capita Consumption Expenditure (yuan)",28227,26796,24538,24100,21210,21559,19853,18322,17111,15712
"Per Capita Consumption Expenditure Growth Rate (%)",5.1,9.0,-0.2,12.6,-4.0,5.5,6.2,5.4,6.8,6.9
"Per Capita Expenditure on Services (yuan)",13016,12114,10590,10645,9037,9886,8781,7803,7157,6460
"Per Capita Expenditure on Services Growth Rate (%)",7.4,14.4,-0.5,17.8,-8.6,12.6,12.5,9.0,10.8,10.6
"Per Capita Expenditure on Food, Tobacco and Alcohol (yuan)",8411,7983,7481,7178,6397,6084,5631,5374,5151,4814
"Per Capita Expenditure on Food, Tobacco and Alcohol Growth Rate (%)",5.4,6.7,4.2,12.2,5.1,8.0,4.8,4.3,7.0,7.1
"Per Capita Expenditure on Clothing (yuan)",1521,1479,1365,1419,1238,1338,1289,1238,1203,1164
"Per Capita Expenditure on Clothing Growth Rate (%)",2.8,8.4,-3.8,14.6,-7.5,3.8,4.1,2.9,3.3,5.9
"Per Capita Expenditure on Housing (yuan)",6263,6095,5882,5641,5215,5055,4647,4107,3746,3419
"Per Capita Expenditure on Housing Growth Rate (%)",2.8,3.6,4.3,8.2,3.2,8.8,13.1,9.6,9.6,6.8
"Per Capita Expenditure on Household Goods and Services (yuan)",1547,1526,1432,1423,1260,1281,1223,1121,1044,951
"Per Capita Expenditure on Household Goods and Services Growth Rate (%)",1.4,6.6,0.6,13.0,-1.7,4.8,9.1,7.4,9.7,6.9
"Per Capita Expenditure on Transport and Communication (yuan)",3976,3652,3195,3156,2762,2862,2675,2499,2338,2087
"Per Capita Expenditure on Transport and Communication Growth Rate (%)",8.9,14.3,1.2,14.3,-3.5,7.0,7.1,6.9,12.0,11.6
"Per Capita Expenditure on Education, Culture and Recreation (yuan)",3189,2904,2469,2599,2032,2513,2226,2086,1915,1723
"Per Capita Expenditure on Education, Culture and Recreation Growth Rate (%)",9.8,17.6,-5.0,27.9,-19.1,12.9,6.7,8.9,11.2,12.2
"Per Capita Expenditure on Health Care (yuan)",2547,2460,2120,2115,1843,1902,1685,1451,1307,1165
"Per Capita Expenditure on Health Care Growth Rate (%)",3.6,16.0,0.2,14.8,-3.1,12.9,16.1,11.0,12.3,11.5
"Per Capita Expenditure on Other Goods and Services (yuan)",773,697,595,569,462,524,477,447,406,389
"Per Capita Expenditure on Other Goods and Services Growth Rate (%)",10.8,17.1,4.6,23.2,-11.8,9.7,6.8,10.0,4.4,8.7
