Indicator,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015
Per Capita Disposable Income (yuan),41314,39218,36883,35128,32189,30733,28228,25974,23821,21966
Per Capita Disposable Income Growth Rate (%),5.1,6.1,2.9,8.1,2.1,5.8,6.5,7.3,6.3,7.4
Median Per Capita Disposable Income (yuan),34707,33036,31370,29975,27540,26523,24336,22408,20883,19281
Median Per Capita Disposable Income Growth Rate (%),5.1,5.3,4.7,8.8,3.8,9.0,8.6,7.3,8.3,9.7
Per Capita Wage Income (yuan),23327,22053,20590,19629,17917,17186,15829,14620,13455,12459
Per Capita Wage Income Growth Rate (%),5.8,7.1,4.9,9.6,4.3,8.6,8.3,8.7,8.0,9.1
Per Capita Net Operating Income (yuan),6908,6542,6175,5893,5307,5247,4852,4502,4218,3956
Per Capita Net Operating Income Growth Rate (%),5.6,6.0,4.8,11.0,1.1,8.1,7.8,6.7,6.6,6.0
Per Capita Net Property Income (yuan),3435,3362,3227,3076,2791,2619,2379,2107,1889,1740
Per Capita Net Property Income Growth Rate (%),2.2,4.2,4.9,10.2,6.6,10.1,12.9,11.6,8.6,9.6
Per Capita Net Transfer Income (yuan),7644,7261,6892,6531,6173,5680,5168,4744,4259,3812
Per Capita Net Transfer Income Growth Rate (%),5.3,5.4,5.5,5.8,8.7,9.9,8.9,11.4,11.7,11.2
